2019-06-28,1409.23,1424.55,1405.59,1409.38,79417,23,0
2019-07-01,1398.54,1398.54,1381.61,1384.15,91458,23,0
2019-07-02,1383.52,1420.91,1382.99,1417.97,78159,23,0
2019-07-03,1419.1,1437.68,1411.91,1418.4,96610,0,0
2019-07-04,1418.59,1421.56,1410.08,1415.18,36887,23,0
2019-07-05,1415.24,1424.1,1386.44,1398.44,76201,23,0
2019-07-08,1398.28,1407.48,1391.63,1395.05,57923,23,0
2019-07-09,1394.86,1399.88,1385.63,1397.3,50824,23,0
2019-07-10,1397.1,1418.72,1389.8,1418.59,67648,23,0
2019-07-11,1418.34,1427.0,1400.69,1403.49,64660,23,0
2019-07-12,1403.98,1416.78,1403.04,1415.17,52634,23,0
2019-07-15,1415.41,1419.68,1407.58,1413.63,47523,23,0
2019-07-16,1413.99,1418.18,1400.7,1405.53,53988,23,0
2019-07-17,1405.8,1426.7,1399.96,1425.93,50915,23,0
2019-07-18,1426.15,1448.02,1414.51,1445.98,77344,23,0
2019-07-19,1446.05,1452.87,1420.08,1424.78,90770,23,0
2019-07-22,1427.39,1429.96,1422.14,1424.5,60971,23,0
2019-07-23,1425.23,1430.04,1414.08,1417.39,61101,23,0
2019-07-24,1417.81,1429.46,1416.22,1425.39,57871,23,0
2019-07-25,1425.88,1433.68,1410.95,1414.04,70055,23,0
2019-07-26,1414.22,1424.74,1413.35,1418.3,47264,23,0
2019-07-29,1418.69,1428.04,1414.68,1426.58,36351,23,0
2019-07-30,1426.57,1433.15,1422.21,1430.62,44683,23,0
2019-07-31,1430.79,1434.43,1410.39,1412.49,74374,23,0
2019-08-01,1413.42,1445.9,1400.39,1443.89,91196,23,0
2019-08-02,1444.83,1448.67,1430.24,1440.89,108590,23,0
2019-08-05,1439.85,1469.66,1436.68,1463.62,109950,23,0
2019-08-06,1467.89,1474.76,1456.28,1474.27,97479,23,0
2019-08-07,1474.2,1510.28,1472.13,1500.94,132878,23,0
2019-08-08,1500.58,1509.42,1489.92,1500.91,99531,23,0
2019-08-09,1504.33,1508.78,1494.68,1496.98,87549,23,0
2019-08-12,1497.75,1520.0,1487.3,1510.78,76356,23,0
2019-08-13,1510.59,1534.91,1479.72,1501.02,118749,23,0
2019-08-14,1501.58,1523.98,1494.05,1516.23,120400,23,0
2019-08-15,1515.5,1526.9,1507.76,1523.0,134374,23,0
2019-08-16,1522.94,1527.92,1503.57,1512.77,86699,23,0
2019-08-19,1512.45,1512.85,1493.13,1495.81,76953,23,0
2019-08-20,1495.78,1508.51,1492.88,1507.19,63112,23,0
2019-08-21,1507.78,1508.01,1496.38,1502.39,60602,23,0
2019-08-22,1501.86,1504.49,1492.38,1497.92,65442,23,0
2019-08-23,1498.84,1530.15,1493.42,1525.93,97755,23,0
2019-08-26,1535.3,1555.1,1524.89,1527.19,128257,23,0
2019-08-27,1527.35,1544.6,1525.58,1542.41,83205,23,0
2019-08-28,1541.87,1546.78,1531.72,1538.96,88332,23,0
2019-08-29,1539.45,1550.25,1519.47,1527.3,106099,23,0
2019-08-30,1527.26,1533.01,1516.88,1519.66,91651,23,0
2019-09-02,1526.23,1533.87,1519.18,1529.44,50059,23,0
2019-09-03,1528.73,1549.63,1521.56,1547.45,99815,23,0
2019-09-04,1546.49,1556.92,1533.71,1552.37,94355,23,0
2019-09-05,1551.94,1552.9,1506.16,1518.87,115355,23,0
2019-09-06,1517.25,1527.78,1502.42,1506.0,127418,23,0
2019-09-09,1507.8,1515.38,1497.49,1498.79,93541,23,0
2019-09-10,1498.58,1500.86,1484.4,1485.14,101546,23,0
2019-09-11,1485.6,1498.18,1484.91,1496.63,75339,23,0
2019-09-12,1496.37,1524.09,1489.11,1498.77,110535,23,0
2019-09-13,1498.58,1508.89,1485.6,1488.07,84724,23,0
2019-09-16,1506.66,1512.04,1495.78,1498.03,99095,23,0
2019-09-17,1498.74,1506.98,1493.34,1501.15,78730,23,0
2019-09-18,1501.22,1511.53,1483.02,1493.84,76050,23,0
2019-09-19,1493.66,1504.46,1488.87,1498.7,87664,23,0
2019-09-20,1499.03,1516.96,1497.84,1516.21,70947,23,0
2019-09-23,1513.93,1526.72,1510.64,1521.92,86261,23,0
2019-09-24,1521.99,1535.63,1515.44,1532.01,97243,23,0
2019-09-25,1531.9,1535.03,1500.33,1503.42,108836,23,0
2019-09-26,1503.08,1512.22,1500.2,1504.34,93104,23,0
2019-09-27,1504.33,1507.29,1486.74,1496.72,111366,23,0
2019-09-30,1495.03,1500.4,1464.36,1472.34,106292,23,0
2019-10-01,1471.49,1487.16,1458.98,1478.91,115672,23,0
2019-10-02,1478.6,1505.0,1474.39,1499.69,115390,23,0
2019-10-03,1499.51,1519.47,1495.68,1504.82,120478,23,0
2019-10-04,1505.1,1514.36,1495.71,1504.3,115347,23,0
2019-10-07,1512.87,1512.87,1487.87,1493.08,111581,23,0
2019-10-08,1492.85,1509.67,1486.66,1505.4,140058,23,0
2019-10-09,1505.0,1512.35,1499.75,1505.49,108991,23,0
2019-10-10,1505.16,1516.93,1490.97,1493.38,155462,23,0
2019-10-11,1493.91,1503.09,1473.88,1488.66,162513,23,0
2019-10-14,1487.42,1497.01,1482.72,1492.97,68986,24,0
2019-10-15,1492.88,1498.28,1477.08,1480.91,66685,24,0
2019-10-16,1480.96,1491.43,1476.92,1489.8,71797,23,0
2019-10-17,1489.8,1497.28,1483.32,1491.7,64525,23,0
2019-10-18,1491.45,1493.95,1484.76,1489.68,57019,23,0
